Date,Account_ID,Account_Name,Order_ID,Revenue,Commission/Profit,Status,Quantity,Target_Revenue
2023-01-01,1001,Alpha GmbH,50000,1439.49,188.33,shipped,3,1598.42
2023-01-01,1002,Beta GmbH,50001,1836.68,293.7,shipped,4,1815.29
2023-01-01,1003,Gamma GmbH,50002,0.0,0.0,cancelled,5,1320.16
2023-01-02,1003,Gamma GmbH,50003,1128.36,181.27,shipped,2,1181.45
2023-01-03,1001,Alpha GmbH,50004,0.0,0.0,cancelled,2,1238.39
2023-01-03,1001,Alpha GmbH,50005,0.0,0.0,cancelled,3,1125.08
2023-01-04,1003,Gamma GmbH,50006,518.11,98.42,shipped,2,553.04
2023-01-05,1002,Beta GmbH,50007,0.0,0.0,cancelled,1,1956.19
2023-01-06,1002,Beta GmbH,50008,1746.78,312.06,shipped,5,1921.97
2023-01-06,1002,Beta GmbH,50009,1714.2,287.89,shipped,3,1559.84
2023-01-06,1002,Beta GmbH,50010,0.0,0.0,cancelled,1,1982.69
2023-01-07,1001,Alpha GmbH,50011,1531.26,172.1,shipped,3,1583.33
2023-01-08,1002,Beta GmbH,50012,810.2,156.22,shipped,4,841.85
2023-01-08,1002,Beta GmbH,50013,738.53,117.33,shipped,4,718.35
2023-01-08,1001,Alpha GmbH,50014,1012.99,161.88,shipped,1,1032.2
2023-01-09,1003,Gamma GmbH,50015,0.0,0.0,cancelled,3,1252.13
2023-01-09,1003,Gamma GmbH,50016,765.89,90.11,shipped,4,796.68
2023-01-10,1001,Alpha GmbH,50017,1784.33,299.24,shipped,5,1958.73
2023-01-10,1001,Alpha GmbH,50018,0.0,0.0,cancelled,5,1925.77
2023-01-11,1001,Alpha GmbH,50019,1340.92,187.82,shipped,4,1340.43
2023-01-12,1001,Alpha GmbH,50020,656.2,125.26,shipped,3,666.69
2023-01-12,1003,Gamma GmbH,50021,888.54,144.49,shipped,3,865.85
2023-01-13,1002,Beta GmbH,50022,1517.87,173.8,shipped,5,1570.04
2023-01-13,1002,Beta GmbH,50023,0.0,0.0,cancelled,2,1195.1
2023-01-14,1002,Beta GmbH,50024,0.0,0.0,cancelled,3,1940.84
2023-01-15,1002,Beta GmbH,50025,1659.78,302.08,shipped,2,1809.98
2023-01-16,1003,Gamma GmbH,50026,1191.67,119.89,shipped,5,1107.05
2023-01-16,1002,Beta GmbH,50027,1496.34,201.48,shipped,3,1535.3
2023-01-17,1003,Gamma GmbH,50028,0.0,0.0,cancelled,4,1810.88
2023-01-17,1001,Alpha GmbH,50029,0.0,0.0,cancelled,1,1163.28
2023-01-17,1001,Alpha GmbH,50030,0.0,0.0,cancelled,1,1807.21
2023-01-18,1003,Gamma GmbH,50031,0.0,0.0,cancelled,5,1646.7
2023-01-19,1003,Gamma GmbH,50032,1377.78,250.0,shipped,4,1324.2
2023-01-20,1001,Alpha GmbH,50033,0.0,0.0,cancelled,1,770.87
2023-01-20,1003,Gamma GmbH,50034,913.38,114.12,shipped,2,939.13
2023-01-20,1003,Gamma GmbH,50035,565.77,73.51,shipped,5,575.13
2023-01-21,1003,Gamma GmbH,50036,0.0,0.0,cancelled,5,785.81
2023-01-22,1002,Beta GmbH,50037,1151.5,184.74,shipped,2,1143.86
2023-01-22,1003,Gamma GmbH,50038,0.0,0.0,cancelled,5,989.24
2023-01-23,1003,Gamma GmbH,50039,0.0,0.0,cancelled,5,1097.36
2023-01-24,1003,Gamma GmbH,50040,0.0,0.0,cancelled,4,957.96
2023-01-25,1001,Alpha GmbH,50041,0.0,0.0,cancelled,1,1281.84
2023-01-25,1002,Beta GmbH,50042,1684.03,204.21,shipped,2,1688.03
2023-01-25,1003,Gamma GmbH,50043,792.98,93.41,shipped,5,825.94
